ID, Company Name
219,Vet Direct Services Ltd
220,Vet Dynamics
221,Vet Way Ltd
222,Vetario by Brinsea Products Ltd
223,Vetark Products Limited
224,Vetcheck Pty Ltd
225,VetCT
226,Veterinary Christian Fellowship
227,Veterinary Information Network
228,Veterinary Poisons Information Service
229,Veterinary Specialist Advice Limited
230,Vetinnov
231,VETiSearch
232,Vetmatch Ltd
233,VetMed Solutions
234,VETNOVA
235,Vetoquinol UK Limited
236,VETPARTNERS LTD
237,Vets Central
238,Vets Now Emergency Ltd
239,Vets4Pets
240,VetScalpel Surgical Lasers
241,Vetstoria Ltd
242,Vetsure Pet Insurance
243,VetTriage
244,VIGGO Software
245,Virbac Limited
246,Virtual Recall
247,Virtual Veterinary Specialists Ltd
248,Vita (Europe) Ltd
249,VS Strategic Solutions UK Ltd
250,VVS Distribution Ltd
251,Waggel Limited
252,Well Lead Medical Co Ltd
253,Woodley Equipment
254,Xeal Pharma Ltd
255,YouLan & Awalife
256,Zoetis
257,Zomedica
258,Zoomadog
259,ZYTCA Limited
